amfi_code,cagr,cagr_pct,sharpe,alpha,cagr_rank,sharpe_rank,alpha_rank,score
120505,0.3280159948038617,32.8,1.1801011976606492,0.29508521272984833,1.0,5.0,3.0,92.58620689655173
148569,0.31924485848158723,31.92,1.2349300257743294,0.2808029988427154,4.0,3.0,4.0,90.51724137931035
148567,0.30949920362874206,30.95,1.4482911703262598,0.2691067256955176,5.0,1.0,6.0,89.82758620689656
120843,0.30883325525154603,30.88,1.3067439695428409,0.27321125754709386,6.0,2.0,5.0,88.62068965517241
119598,0.3239808398464554,32.4,0.9453082575156095,0.303144867465332,2.0,14.0,1.0,85.17241379310344
149324,0.3226210752841656,32.26,0.9497958246616031,0.2958210599599487,3.0,13.0,2.0,84.3103448275862
100033,0.30099703552874524,30.1,1.093698743534631,0.26875229141391044,7.0,7.0,7.0,81.89655172413794
149323,0.29558105232568344,29.56,1.1321218524747243,0.26573261554511396,8.0,6.0,8.0,81.0344827586207
119551,0.2578492084946409,25.78,1.2082665673727175,0.23454374664870614,10.0,4.0,10.0,79.3103448275862
119094,0.28192608222062465,28.19,0.9982309868636413,0.2627316899588547,9.0,11.0,9.0,75.0
118632,0.2403119561352478,24.03,1.0816591793457042,0.2157852505239689,11.0,8.0,12.0,73.44827586206895
101206,0.23520488754230384,23.52,1.0272133278753695,0.21465600456186984,12.0,9.0,13.0,70.86206896551724
120504,0.2327744753273051,23.28,1.0265242847993001,0.21609064980413412,13.0,10.0,11.0,70.34482758620689
119552,0.21508021785499332,21.51,0.9532794968660104,0.20047597382446736,15.0,12.0,15.0,63.793103448275865
148568,0.22499840384352243,22.5,0.9262873467360144,0.20841945067406478,14.0,15.0,14.0,62.93103448275862
125497,0.19003613208378556,19.0,0.7757902498211205,0.1776220377104348,16.0,18.0,16.0,56.896551724137936
120503,0.18771330105513617,18.77,0.7979728586052847,0.1755417235928387,17.0,17.0,18.0,55.344827586206904
102885,0.18218826089343754,18.22,0.8170993373494367,0.17094095164685527,18.0,16.0,19.0,54.48275862068966
120506,0.17072227512921923,17.07,0.6488787755249532,0.1600230125795732,19.0,20.0,21.0,48.62068965517242
102887,0.16828673461948984,16.83,0.6195175900829828,0.16106251568117863,20.0,22.0,20.0,46.55172413793104
118634,0.16361396476593382,16.36,0.44843400890899127,0.17568123177332165,21.0,26.0,17.0,44.13793103448275
118633,0.16262218000296524,16.26,0.6452074382933215,0.15755299358545502,22.0,21.0,22.0,43.96551724137932
118635,0.15945481185082522,15.95,0.664856998549062,0.15065271641931977,23.0,19.0,23.0,43.96551724137932
120841,0.13522349085511554,13.52,0.4942725378672349,0.13270798966179026,24.0,24.0,25.0,37.24137931034483
149322,0.13383520958789363,13.38,0.46403744922047774,0.13307516786532644,25.0,25.0,24.0,36.03448275862069
125498,0.11293660210400969,11.29,0.30061192104254786,0.11764356212760835,26.0,27.0,26.0,31.896551724137936
120507,0.0723241093234459,7.23,0.4957233929533123,0.06751273831066396,29.0,23.0,30.0,29.48275862068965
101207,0.07933120999915699,7.93,0.16266076928646772,0.11024955018619279,27.0,28.0,27.0,29.310344827586206
119093,0.07891944369437343,7.89,0.12961449795669328,0.08091817265695568,28.0,29.0,28.0,26.72413793103449
120842,0.06696806255006482,6.7,0.07599984804658923,0.080481558797897,31.0,30.0,29.0,22.068965517241395
119092,0.0636349475771898,6.36,0.03078485095458594,0.06701143712338227,33.0,31.0,31.0,17.758620689655174
120844,0.0691037983940288,6.91,-0.08874729621557288,0.0646054190026635,30.0,34.0,32.0,17.58620689655173
101208,0.06504429821332125,6.5,-0.8155673679088263,0.06085212112251844,32.0,40.0,33.0,9.655172413793096
119120,0.05885271270380055,5.89,-0.22657538662791576,0.05606050670324881,34.0,37.0,34.0,9.482758620689651
119599,0.02053064146209893,2.05,-0.05718662582817995,0.049328065524053666,38.0,32.0,36.0,8.275862068965523
118636,0.053131554027608274,5.31,-0.35662950751436784,0.051060743722708336,35.0,38.0,35.0,6.896551724137936
119095,0.015204552427132478,1.52,-0.0759735711747892,0.04875277581131942,39.0,33.0,37.0,5.689655172413794
100016,0.026352458116335464,2.64,-0.20151706755966936,0.035008020122776796,37.0,35.0,39.0,4.655172413793096
100025,0.04455091155784441,4.46,-0.5670947928476846,0.04333049544115674,36.0,39.0,38.0,2.931034482758619
102886,0.0117093879842316,1.17,-0.20583160785470309,0.03194911544827528,40.0,36.0,40.0,0.0
