amfi_code,HHI
120505,0.19312711785521874
119551,0.18967923153082206
101207,0.18944313246881075
102885,0.18452154671866638
125497,0.17836868566075803
125498,0.15745536631568166
148569,0.15574439593825803
149322,0.15241104527274585
148568,0.15200063704556122
149323,0.15084163004219175
100016,0.15031236700690492
100033,0.1470210547331445
119093,0.14442255178274913
118632,0.14263806647303787
118635,0.14206476733447848
148567,0.13787347187528126
119094,0.13731039229674993
120503,0.13717608180263866
101206,0.13702339452777784
119095,0.13332708541573604
119599,0.13189871379718926
120506,0.12864297974730293
118634,0.12849705142126422
102886,0.12665914086190255
102887,0.11864687773841497
119092,0.11861221908537711
120843,0.11482972157661014
118633,0.11339860843685624
120842,0.11228981201290969
119552,0.11051883244434949
120841,0.11009033274833606
120504,0.1058916679752629
119598,0.10395613852567168
149324,0.09190447134195576
